epoch, batch, loss, loss_e, e_mae, e/N_mae
    1,     1,         0.051994,         0.051994,           6.0665,          0.18958
    1,     2,           0.1092,           0.1092,           9.9073,           0.3096
    1,     3,         0.084963,         0.084963,           8.8416,           0.2763
    1,     4,         0.061029,         0.061029,           6.6501,          0.20782
    1,     5,         0.081734,         0.081734,           7.6654,          0.23954
    1,     6,         0.042655,         0.042655,           6.0198,          0.18812
    1,     7,          0.13781,          0.13781,           9.0141,          0.28169
    1,     8,         0.081494,         0.081494,           8.5509,          0.26722
    1,     9,          0.10079,          0.10079,           9.9459,          0.31081
    1,    10,         0.046237,         0.046237,           6.1439,            0.192
    1,    11,         0.041208,         0.041208,            5.857,          0.18303
    1,    12,         0.062362,         0.062362,           7.6161,            0.238
    1,    13,         0.091497,         0.091497,           6.2828,          0.19634
    1,    14,         0.051211,         0.051211,           5.3806,          0.16814
    1,    15,         0.067436,         0.067436,           7.3253,          0.22892
    1,    16,         0.023166,         0.023166,           4.4539,          0.13919
    1,    17,          0.05579,          0.05579,           7.0628,          0.22071
    1,    18,         0.054104,         0.054104,           6.6748,          0.20859
    1,    19,         0.022946,         0.022946,           3.9457,           0.1233
    1,    20,         0.049834,         0.049834,           7.1139,          0.22231
    1,    21,          0.01179,          0.01179,           2.7876,         0.087112
    1,    22,          0.08207,          0.08207,            8.179,          0.25559
    1,    23,          0.12012,          0.12012,           9.0125,          0.28164
    1,    24,         0.031114,         0.031114,           4.1997,          0.13124
    1,    25,          0.15964,          0.15964,           11.107,           0.3471
    1,    26,        0.0050725,        0.0050725,           1.6959,         0.052998
    1,    27,         0.012022,         0.012022,           3.2667,          0.10208
    1,    28,        0.0089762,        0.0089762,           2.5936,          0.08105
    1,    29,         0.088247,         0.088247,           6.6675,          0.20836
    1,    30,         0.094947,         0.094947,           8.1847,          0.25577
    1,    31,         0.012351,         0.012351,           2.3632,          0.07385
    1,    32,         0.015572,         0.015572,           3.4851,          0.10891
    1,    33,         0.015672,         0.015672,           3.3579,          0.10493
    1,    34,         0.013322,         0.013322,           3.1944,         0.099826
    1,    35,         0.017934,         0.017934,           3.7742,          0.11795
    1,    36,         0.011556,         0.011556,           2.9427,         0.091959
    1,    37,         0.024479,         0.024479,           4.1808,          0.13065
    1,    38,         0.019058,         0.019058,           3.8206,           0.1194
    1,    39,         0.011677,         0.011677,           3.3878,          0.10587
    1,    40,        0.0085282,        0.0085282,           2.1864,         0.068324
    1,    41,         0.017417,         0.017417,           3.3769,          0.10553
    1,    42,         0.046297,         0.046297,           4.7198,          0.14749
    1,    43,         0.032468,         0.032468,           4.3556,          0.13611
    1,    44,         0.016676,         0.016676,           3.5561,          0.11113
    1,    45,         0.028678,         0.028678,            4.756,          0.14863
    1,    46,         0.016102,         0.016102,           3.3181,          0.10369
    1,    47,        0.0016674,        0.0016674,           1.2377,         0.038677
    1,    48,         0.027575,         0.027575,           3.8954,          0.12173
    1,    49,         0.011898,         0.011898,           2.5193,         0.078727
    1,    50,        0.0079373,        0.0079373,           2.1584,         0.067449
    1,    51,        0.0057285,        0.0057285,           2.2071,         0.068971
    1,    52,        0.0067427,        0.0067427,           2.4181,         0.075565
    1,    53,         0.024646,         0.024646,           4.3545,          0.13608
    1,    54,         0.037062,         0.037062,           5.3327,          0.16665
    1,    55,         0.038498,         0.038498,           6.0078,          0.18774
    1,    56,        0.0075365,        0.0075365,           2.2241,         0.069504
    1,    57,         0.010695,         0.010695,           3.1471,         0.098347
    1,    58,         0.011486,         0.011486,           3.0522,         0.095381
    1,    59,         0.030074,         0.030074,           5.1329,           0.1604
    1,    60,         0.033658,         0.033658,           5.1465,          0.16083
    1,    61,         0.015391,         0.015391,           3.4774,          0.10867
    1,    62,         0.016427,         0.016427,           3.7829,          0.11821
    1,    63,         0.032291,         0.032291,           4.8996,          0.15311
    1,    64,         0.020252,         0.020252,           4.0519,          0.12662
    1,    65,         0.018299,         0.018299,           3.2573,          0.10179
    1,    66,         0.028383,         0.028383,           4.7413,          0.14817
    1,    67,         0.019471,         0.019471,           4.1549,          0.12984
    1,    68,         0.043937,         0.043937,           4.8127,           0.1504
